student.id,generation,educational.model,level,gender,age,max.degree.parents,father.education.complete,father.education.summary,mother.education.complete,mother.education.summary,parents.exatec,father.exatec,mother.exatec,tec.no.tec,foreign,zone.type,first.generation,school,program,region,PNA,admission.test,online.test,english.evaluation,admission.rubric,general.math.eval,retention,FTE,scholarship.perc,scholarship.type,loan.perc,total.scholarship.loan,school.cost,id.school.origin,socioeconomic.level,social.lag,average.first.period,failed.subject.first.period,dropped.subject.first.period,dropout.semester,physical.education,cultural.diffusion,student.society,total.life.activities,athletic.sports,art.culture,student.society.leadership,life.work.mentoring,wellness.activities
35260,AD16,0,Undergraduate,Female,19,No information,No information,No information,No information,No information,No,No,No,TEC,Local,No information,No information,EIC,IMT,RCS,"83,93",Does not apply ,0,6,,74.5,1,"1,08",0,No scholarship,0,0,High cost,School 5319,No information,No information,,,,0,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
49405,AD18,0,Undergraduate,Female,18,PhD,Received PhD,PhD,Received master degree,Master degree,Yes,Yes,No,TEC,Local,No information,No,ECSG,LED,RM,"86,86",1201,0,7,,82,1,"1,08","0,9",Child of Professor/Employee/Director,0,"0,900001711",High cost,School 7371,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,1,1,0,0,0
106944,AD18,0,High School,Female,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Graduated from elementary or middle school,No degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RM,89,955,0,0,23,Does not apply,1,1,0,No scholarship,0,0,High cost,School 120,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,0,1,1,0,0
107183,AD19,1,High School,Male,16,Undergraduate degree,"Attended university, but did not graduate",No degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PTM,RM,96,1320,0,6,38,Does not apply,1,1,"0,4",Academic talent,0,"0,4",High cost,School 1098,No information,No information,"96,66666667",0,0,0,Does not apply,Does not apply,Does not apply,2,1,0,1,0,0
92225,AD18,0,Undergraduate,Male,19,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,TEC,Local,No information,No,EN,LAF,RCM,"74,6",Does not apply ,0,7,,71,0,"1,08",0,No scholarship,0,0,High cost,School 5325,No information,No information,,,,4,Does not apply,Does not apply,Does not apply,2,1,0,0,1,0
118754,AD20,1,High School,Female,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PBB,RCM,86,1170,0,5,24,Does not apply,1,1,"0,1",Traditional,0,"0,1",Medium high cost,School 187,No information,No information,"85,83333333",0,0,0,Does not apply,Does not apply,Does not apply,1,0,0,0,0,1
16875,AD18,0,Undergraduate,Female,18,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,No,No,No,TEC,Local,No information,No,ECSG,LEF,RCM,"85,4",Does not apply ,0,7,,74,1,"1,08",0,Army/Navy scholarship,0,0,High cost,School 7351,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,3,0,0,1,1,1
30703,AD15,0,Undergraduate,M,18,No information,No information,No information,No information,No information,No information,No information,No information,TEC,Local,No information,No information,EIC,INT,RM,"85,4",Does not apply ,0,6,,77,1,"1,08","0,2",Traditional,0,"0,199995925",High cost,School 7359,No information,No information,,,,0,1,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
47983,AD14,0,Undergraduate,Male,17,No information,No information,No information,No information,No information,No information,No information,No information,999,Local,No information,No information,EIC,IIS,RM,87,1385,0,4,12,60,1,"0,92","0,2",Traditional,"0,2","0,40005537",Medium high cost,School 8801,No information,No information,,,,0,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
28411,AD14,0,High School,Male,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RM,89,1306,0,0,15,Does not apply,1,1,0,No scholarship,0,0,High cost,School 2649,No information,No information,,,,0,1,0,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
116451,AD18,0,High School,Male,15,Master degree,Received master degree,Master degree,Received master degree,Master degree,Yes,No,Yes,NO TEC,Yes: National,No information,Does not apply,High school,PBB,RCM,89,1343,0,0,38,Does not apply,1,1,0,No scholarship,0,0,Public,School 1983,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,1,1,0,0,0
73841,AD18,0,High School,Male,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RCS,"91,43",1414,0,0,40,Does not apply,1,1,"0,4",Academic talent,0,"0,4",Medium high cost,School 154,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
15741,AD14,0,High School,M,15,No information,No information,No information,No information,No information,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RCM,92,1517,0,0,24,Does not apply,1,1,"0,3",Academic talent,0,"0,299997305",High cost,School 1751,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
61880,AD18,0,High School,Male,15,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,Yes,Yes,No,NO TEC,Yes: Foreigner,No information,Does not apply,High school,PBB,RCS,86,1487,0,0,50,Does not apply,1,1,0,No scholarship,0,0,Not defined,School 4160,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,0,1,1,0,0
116690,AD19,1,High School,Female,15,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PBB,RCM,85,1080,0,5,36,Does not apply,1,1,0,No scholarship,0,0,High cost,School 238,No information,No information,"84,5",0,0,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
110102,AD18,0,High School,Female,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,"Attended university, but did not graduate",No degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PBB,RCS,"94,33",1234,0,0,35,Does not apply,1,1,0,No scholarship,0,0,Public,School 920,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
117805,AD19,1,High School,Female,16,Master degree,Received master degree,Master degree,Received master degree,Master degree,Yes,Yes,No,NO TEC,Local,Urban,Does not apply,High school,PBB,RCM,85,1000,0,3,34,Does not apply,1,1,0,No scholarship,0,0,Medium cost,School 1561,Level 6,Low,"71,33333333",2,0,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
9343,AD17,0,Undergraduate,Female,18,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received technical or commercial degree,No degree,No,No,No,NO TEC,Local,No information,No,EIC,IID,RM,"92,37",1486,0,6,42,84,1,"0,75",0,No scholarship,0,0,Public,School 9485,No information,No information,,,,0,1,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
115257,AD18,0,High School,Female,16,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,Yes,Yes,No,NO TEC,Local,No information,Does not apply,High school,PBB,RCM,"90,5",1211,0,0,40,Does not apply,1,1,"0,2",Traditional,0,"0,2",Medium high cost,School 233,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
26170,AD14,0,Undergraduate,Female,18,No information,No information,No information,No information,No information,No information,No information,No information,NO TEC,Local,No information,No information,EN,LMC,RCM,85,1337,0,6,10,72,1,"1,08",0,Traditional,"0,2","0,199978386",High cost,School 5369,No information,No information,,,,0,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
33659,AD18,0,High School,Female,15,Master degree,Received undergraduate degree,Undergraduate degree,Received master degree,Master degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RM,"97,5",1436,0,0,40,Does not apply,1,1,"0,5",Academic talent,0,"0,5",High cost,School 1098,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,1,1,0,0,0
41577,AD20,1,High School,M,15,Master degree,"Attended university, but did not graduate",No degree,Received master degree,Master degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PBB,DR,93,1170,0,5,34,Does not apply,1,1,"0,4",Sports talent,0,"0,4",High cost,School 2602,No information,No information,"91,5",0,0,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
17501,AD16,0,High School,Male,15,PhD,Received PhD,PhD,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RCM,79,1232,0,0,40,Does not apply,1,1,0,No scholarship,0,0,High cost,School 1353,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
44937,AD20,1,Undergraduate,M,22,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Yes: National,Urban,No,EIC,IIT,RCS,85,79,1,6,48,83.5,1,1,"0,35",Traditional,0,"0,35",High cost,School 9135,Level 7,Low,94,0,0,0,Does not apply,Does not apply,Does not apply,1,0,0,0,0,1
119057,AD20,1,High School,Male,15,Master degree,Received undergraduate degree,Undergraduate degree,Received master degree,Master degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PTM,RCM,76,1290,0,6,30,Does not apply,1,1,0,No scholarship,0,0,Medium high cost,School 1560,Level 7,Low,"64,66666667",0,0,0,Does not apply,Does not apply,Does not apply,2,1,0,0,0,1
69061,AD15,0,High School,M,15,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PBB,RM,89,1327,0,0,35,Does not apply,1,1,"0,2",Traditional,0,"0,2",Medium high cost,School 928,No information,No information,,,,0,1,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
117165,AD19,1,High School,Female,14,No degree,"Attended university, but did not graduate",No degree,Graduated from elementary or middle school,No degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PBB,RCM,89,1080,0,1,31,Does not apply,1,1,0,No scholarship,0,0,Public,School 3368,Level 6,Low,"76,5",3,0,0,Does not apply,Does not apply,Does not apply,3,1,1,1,0,0
61536,AD18,0,High School,Male,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PBB,RCS,"89,5",1284,0,0,25,Does not apply,1,1,0,No scholarship,0,0,Medium cost,School 2550,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,1,0,0,1,0,0
111796,AD17,0,High School,M,15,Undergraduate degree,No information,No information,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PBB,RO,94,1250,0,0,32,Does not apply,1,1,"0,3",Traditional,0,"0,3",Medium high cost,School 3919,No information,No information,,,,0,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
65708,AD15,0,High School,Female,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PBB,RCM,"95,3",1102,0,0,35,Does not apply,1,1,"0,2",Traditional,0,"0,2",Medium cost,School 1484,No information,No information,,,,0,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
60710,AD19,1,Undergraduate,Male,18,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,TEC,Local,No information,No,EIC,IIT,RCS,87,Does not apply ,0,7,,89.5,1,1,0,No scholarship,0,0,High cost,School 5324,No information,No information,97,0,0,0,Does not apply,Does not apply,Does not apply,1,0,0,0,1,0
67747,AD19,1,Undergraduate,Male,18,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,TEC,Local,Urban,No,EHE-EAAD,ESC,RCM,94,1490,0,7,,97,1,1,"0,4",Academic talent,0,"0,4",High cost,School 5328,Level 7,Low,96,0,0,0,Does not apply,Does not apply,Does not apply,1,0,1,0,0,0
21369,AD20,1,High School,Male,15,Master degree,Received master degree,Master degree,Received master degree,Master degree,No,No,No,NO TEC,Yes: National,Urban,Does not apply,High school,PBB,RCS,88,1390,0,6,29,Does not apply,1,1,"0,4",Traditional,0,"0,4",Not defined,School 5067,No information,No information,"93,5",0,0,0,Does not apply,Does not apply,Does not apply,1,0,0,1,0,0
113199,AD20,1,High School,Male,16,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Yes,Yes,Yes,NO TEC,Local,Rural,Does not apply,High school,PBB,RO,90,1180,0,4,21,Does not apply,1,1,"0,2",Traditional,0,"0,2",High cost,School 4530,No information,No information,"83,83333333",0,0,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
24533,AD14,0,High School,Female,16,No information,No information,No information,No information,No information,Yes,Yes,No,NO TEC,Local,No information,Does not apply,High school,PTB,RO,87,1278,0,0,19,Does not apply,1,1,0,No scholarship,0,0,High cost,School 3097,No information,No information,,,,0,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
42142,AD15,0,High School,Male,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,TEC,Local,No information,Does not apply,High school,PTM,RO,"87,8",,0,0,,Does not apply,1,1,"0,2",Traditional,0,"0,2",High cost,School 163,No information,No information,,,,0,0,0,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
108896,AD16,0,Undergraduate,Male,17,No information,No information,No information,No information,No information,No,No,No,999,Local,No information,No information,EHE-EAAD,IMI,RCS,85,1307,0,2,40,No information,0,"0,92","0,9",Sports talent,0,"0,899974773",Low cost,School 5751,No information,No information,,,,4,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
55489,AD14,0,High School,Female,14,No information,No information,No information,No information,No information,No,No,No,NO TEC,Local,No information,Does not apply,High school,PBB,RCM,94,1330,0,0,20,Does not apply,1,1,"0,2",Traditional,0,"0,200007633",Medium high cost,School 2329,No information,No information,,,,0,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
86490,AD17,0,High School,M,16,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RO,"97,5",1337,0,0,36,Does not apply,1,1,"0,4",Academic talent,0,"0,4",Medium high cost,School 3053,No information,No information,,,,0,1,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
81451,AD19,1,Undergraduate,Female,20,Undergraduate degree,"Attended university, but did not graduate",No degree,Received undergraduate degree,Undergraduate degree,No,No,No,999,Local,No information,No,EHE-EAAD,ESC,RCS,97,1500,0,6,50,75.25,1,1,"0,5",Academic talent,"0,25","0,75",Medium high cost,School 5360,No information,No information,96,0,0,0,Does not apply,Does not apply,Does not apply,1,0,1,0,0,0
11429,AD19,1,Undergraduate,Male,18,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Yes: National,Rural,No,EIC,IIT,RO,94,1380,0,6,44,95.75,1,1,"0,1",Traditional,"0,1","0,2",Medium cost,School 5269,No information,No information,94,0,0,0,Does not apply,Does not apply,Does not apply,2,1,1,0,0,0
41349,AD19,1,High School,Female,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received technical or commercial degree,No degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PTM,DR,86,1280,0,6,36,Does not apply,1,1,0,No scholarship,0,0,Low cost,School 3024,Level 5,Low,"78,5",1,0,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
32484,AD15,0,Undergraduate,Male,17,No information,No information,No information,No information,No information,No information,No information,No information,TEC,Local,No information,No information,ECSG,LEC,RM,"80,33",Does not apply ,0,6,,76.5,1,"1,08",0,No scholarship,0,0,High cost,School 5357,No information,No information,,,,0,1,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
25463,AD14,0,Undergraduate,Female,18,No information,No information,No information,No information,No information,No information,No information,No information,TEC,Local,No information,No information,EN,LAF,RCS,"89,36",Does not apply ,0,6,,86,1,"1,08",0,No scholarship,0,0,High cost,School 5320,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
63987,AD17,0,Undergraduate,M,19,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,No,No,No,TEC,Local,No information,No,EN,LAE,RCM,"84,93",Does not apply ,0,6,,76,1,"1,08",0,No scholarship,0,0,High cost,School 5328,No information,No information,,,,0,0,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
74250,AD19,1,High School,Female,16,Undergraduate degree,Graduated from high school,No degree,Received undergraduate degree,Undergraduate degree,Yes,No,Yes,NO TEC,Yes: National,Urban,Does not apply,High school,PTM,RCS,79,1110,0,6,29,Does not apply,1,1,0,No scholarship,0,0,High cost,School 287,No information,No information,"84,16666667",0,0,0,Does not apply,Does not apply,Does not apply,2,0,1,1,0,0
40654,AD20,1,Undergraduate,Female,17,No degree,Graduated from elementary or middle school,No degree,Graduated from elementary or middle school,No degree,No,No,No,TEC,Local,Urban,Yes,EN,NEG,DR,"91,74",1060,0,7,36,48.08388101,1,"0,96","0,25",Traditional,"0,25","0,5",High cost,School 2602,Level 6,Low,"95,33333333",0,0,0,Does not apply,Does not apply,Does not apply,0,0,0,0,0,0
6950,AD15,0,Undergraduate,Female,18,No information,No information,No information,No information,No information,No information,No information,No information,NO TEC,Yes: National,No information,No information,EN,LIN,RO,82,1212,0,0,30,44,1,"1,08",0,Traditional,"0,4","0,399980747",Medium cost,School 7116,No information,No information,,,,0,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
119944,AD19,1,Undergraduate,Male,20,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,Urban,No,EIC,ICT,RCS,81,1310,0,3,34,74.75,1,"0,83",0,Traditional,"0,25","0,249999978",Medium cost,School 7012,No information,Low,93,0,0,0,Does not apply,Does not apply,Does not apply,3,1,1,0,1,0
26111,AD14,0,Undergraduate,Female,18,No information,No information,No information,No information,No information,No information,No information,No information,TEC,Local,No information,No information,EIC,IQA,RCM,"88,93",Does not apply ,0,6,,84,1,"1,08",0,No scholarship,0,0,High cost,School 5328,No information,No information,,,,0,0,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
103487,AD19,1,Undergraduate,Male,18,No degree,Graduated from elementary or middle school,No degree,Graduated from elementary or middle school,No degree,No,No,No,NO TEC,Yes: National,No information,Yes,EIC,IIT,RCS,96,1410,0,1,24,58.25,1,1,"0,2",Leaders of Tomorrow Scholarship,0,"0,2",Not defined,School 8641,No information,No information,"86,5",0,0,0,Does not apply,Does not apply,Does not apply,4,1,1,1,1,0
117042,AD19,1,High School,Female,15,Master degree,Received undergraduate degree,Undergraduate degree,Received master degree,Master degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PBB,RCM,83,1000,0,5,31,Does not apply,1,1,0,No scholarship,0,0,High cost,School 1311,No information,No information,"85,33333333",0,0,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
18278,AD17,0,High School,Female,15,No information,No information,No information,No information,No information,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RCM,91,1300,0,0,19,Does not apply,1,1,0,No scholarship,0,0,High cost,School 3109,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
10085,AD18,0,Undergraduate,Male,18,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Yes: National,No information,No,EIC,IC,RM,99,1425,0,6,40,100,1,"0,92","0,4",Academic talent,0,"0,400002022",Medium high cost,School 5261,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,1,0,0,1,0
77041,AD20,1,Undergraduate,Male,17,PhD,Received PhD,PhD,Received PhD,PhD,No,No,No,NO TEC,Local,Urban,No,EIC,ICI,RO,"96,51",,0,1,46,39.5,1,1,"0,04",Leaders of Tomorrow Scholarship,0,"0,04",Public,School 9820,No information,No information,"98,5",0,0,0,Does not apply,Does not apply,Does not apply,2,1,0,0,0,1
94805,AD20,1,Undergraduate,Female,18,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received technical or commercial degree,No degree,No,No,No,TEC,Local,No information,No,EHE-EAAD,ESC,RCM,"92,18",1380,0,7,36,48.08388101,1,"0,96","0,4",No scholarship,0,"0,4",High cost,School 952,No information,No information,100,0,0,0,Does not apply,Does not apply,Does not apply,4,0,1,1,1,1
56103,AD14,0,Undergraduate,Female,18,No information,No information,No information,No information,No information,No information,No information,No information,NO TEC,Local,No information,No information,EN,LIN,RCM,73,1189,0,3,20,24,0,"0,92",0,No scholarship,0,0,High cost,School 5866,No information,No information,,,,3,1,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
52379,AD14,0,Undergraduate,Female,18,No information,No information,No information,No information,No information,No information,No information,No information,NO TEC,Yes: National,No information,No information,EIC,IDS,RCS,92,1274,0,2,18,84,1,"0,75","0,4",Traditional,"0,3","0,699981543",Medium high cost,School 8120,No information,No information,,,,0,1,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
21295,AD20,1,High School,Male,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PBB,RCM,87,960,0,6,30,Does not apply,1,1,0,No scholarship,0,0,Medium high cost,School 1759,No information,No information,"79,66666667",0,0,0,Does not apply,Does not apply,Does not apply,1,1,0,0,0,0
59455,AD15,0,High School,Female,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received technical or commercial degree,No degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PBI,RCS,95,1392,0,0,50,Does not apply,1,1,0,No scholarship,0,0,Medium high cost,School 3081,No information,No information,,,,0,0,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
35842,AD14,0,High School,Female,14,No degree,Graduated from high school,No degree,Received technical or commercial degree,No degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RCS,"83,5",1046,0,0,19,Does not apply,1,1,0,No scholarship,0,0,Medium high cost,School 2470,No information,No information,,,,0,0,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
120434,AD20,1,High School,Female,14,Master degree,Received master degree,Master degree,Received master degree,Master degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PBB,RCS,"91,5",1270,0,3,26,Does not apply,1,1,"0,4",Traditional,0,"0,4",Medium cost,School 3465,Level 6,Low,"92,16666667",0,0,0,Does not apply,Does not apply,Does not apply,3,1,1,0,0,1
17694,AD16,0,High School,Female,4,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,Yes,Yes,No,NO TEC,Yes: National,No information,Does not apply,High school,PBB,RCM,90,1200,0,0,25,Does not apply,1,1,0,Army/Navy scholarship,0,0,Low cost,School 2118,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
36998,AD16,0,Undergraduate,Female,17,No information,No information,No information,No information,No information,No,No,No,TEC,Local,No information,No information,EMCS,MC,RO,"95,67",1389,0,6,50,91.5,1,"1,08",0,No scholarship,0,0,High cost,School 5337,No information,No information,,,,0,0,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
92794,AD19,1,Undergraduate,M,18,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No information,No information,No,No,No,TEC,Local,Urban,No,EN,NEG,RCM,80,1200,0,7,,72.5,1,1,0,No scholarship,0,0,High cost,School 5325,Level 3,Medium,83,0,0,0,Does not apply,Does not apply,Does not apply,1,0,0,0,0,1
33156,AD16,0,High School,Female,15,Master degree,Received undergraduate degree,Undergraduate degree,Received master degree,Master degree,No,No,No,NO TEC,Yes: National,No information,Does not apply,High school,PTM,RM,97,1327,0,0,20,Does not apply,1,1,"0,4",Academic talent,0,"0,4",High cost,School 20,No information,No information,,,,0,0,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
105922,AD16,0,High School,Male,15,No information,No information,No information,No information,No information,No,No,No,NO TEC,Yes: Foreigner,No information,Does not apply,High school,PTM,RM,"89,99",1220,0,0,25,Does not apply,1,1,0,No scholarship,0,0,Not defined,School 4694,No information,No information,,,,0,1,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
117062,AD19,1,High School,Female,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PBB,RCM,87,1200,0,4,13,Does not apply,1,1,"0,4",Traditional,0,"0,4",High cost,School 4462,Level 6,Low,"84,5",0,0,0,Does not apply,Does not apply,Does not apply,2,1,1,0,0,0
42815,AD17,0,Undergraduate,Female,17,No information,No information,No information,No information,No information,No,No,No,NO TEC,Local,No information,No information,EHE-EAAD,LDI,RO,"91,88",1432,0,6,46,84,1,"1,25","0,25",Traditional,"0,25","0,5",Medium high cost,School 8306,No information,No information,,,,0,1,0,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
12227,AD19,1,Undergraduate,Male,18,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,Urban,No,EIC,IIT,RM,84,1310,0,6,34,62.5,0,"1,1",0,No scholarship,0,0,Medium high cost,School 8742,Level 7,Low,"80,25",0,0,4,Does not apply,Does not apply,Does not apply,0,0,0,0,0,0
99653,AD15,0,High School,Female,15,Master degree,Received undergraduate degree,Undergraduate degree,Received master degree,Master degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RCS,"84,75",1134,0,0,30,Does not apply,1,1,0,No scholarship,0,0,Medium cost,School 3126,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
165,AD16,0,Undergraduate,Male,18,No information,No information,No information,No information,No information,No,No,No,NO TEC,Local,No information,No information,EIC,IIS,DR,91,1308,0,6,35,No information,1,"1,08","0,15",Traditional,"0,15","0,3",Medium high cost,School 8432,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
63104,AD15,0,Undergraduate,Female,19,No information,No information,No information,No information,No information,No information,No information,No information,TEC,Local,No information,No information,EN,LIN,RCM,"83,74",Does not apply ,0,6,,78,1,"1,08",0,No scholarship,0,0,High cost,School 5328,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
50484,AD18,0,High School,Male,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,"Attended university, but did not graduate",No degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RM,"96,5",1407,0,0,40,Does not apply,1,1,"0,5",Academic talent,0,"0,5",High cost,School 815,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,1,1,0,0,0
