student.id,generation,educational.model,level,gender,age,max.degree.parents,father.education.complete,father.education.summary,mother.education.complete,mother.education.summary,parents.exatec,father.exatec,mother.exatec,tec.no.tec,foreign,zone.type,first.generation,school,program,region,PNA,admission.test,online.test,english.evaluation,admission.rubric,general.math.eval,retention,FTE,scholarship.perc,scholarship.type,loan.perc,total.scholarship.loan,school.cost,id.school.origin,socioeconomic.level,social.lag,average.first.period,failed.subject.first.period,dropped.subject.first.period,dropout.semester,physical.education,cultural.diffusion,student.society,total.life.activities,athletic.sports,art.culture,student.society.leadership,life.work.mentoring,wellness.activities
36009,AD14,0,Undergraduate,Male,18,No information,No information,No information,No information,No information,No information,No information,No information,NO TEC,Local,No information,No information,EIC,IA,RCS,"82,33",1260,0,2,23,20,1,"0,92",0,No scholarship,0,0,Low cost,School 8413,No information,No information,,,,0,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
69371,AD16,0,High School,Female,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PBB,RM,"98,5",1217,0,0,35,Does not apply,1,1,"0,2",Cultural talent,0,"0,2",Medium high cost,School 928,No information,No information,,,,0,1,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
106045,AD17,0,High School,Male,15,Master degree,Received master degree,Master degree,No information,No information,No,No,No,NO TEC,Local,No information,Does not apply,High school,PTM,RM,99,1246,0,0,26,Does not apply,1,1,0,No scholarship,0,0,High cost,School 3203,No information,No information,,,,0,1,0,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
80377,AD14,0,High School,Female,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PBB,RCS,82,1068,0,0,15,Does not apply,1,1,0,No scholarship,0,0,Low cost,School 2274,No information,No information,,,,0,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
81582,AD18,0,High School,Female,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Yes,Yes,No,NO TEC,Local,No information,Does not apply,High school,PTM,RCS,"93,65",1339,0,0,46,Does not apply,1,1,"0,4",Academic talent,0,"0,4",High cost,School 2951,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,1,1,0,0,0
17462,AD16,0,High School,Female,14,Master degree,Received master degree,Master degree,Received master degree,Master degree,Yes,Yes,No,NO TEC,Local,No information,Does not apply,High school,PTM,RCM,"88,5",1318,0,0,20,Does not apply,1,1,0,No scholarship,0,0,Low cost,School 3814,No information,No information,,,,0,1,0,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
96168,AD19,1,Undergraduate,Male,21,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Yes: National,Urban,No,EHE-EAAD,ESC,RCM,83,1467,0,6,30,50,1,1,"0,6",Cultural talent,0,"0,6",Medium cost,School 6480,Level 7,Low,94,0,0,0,Does not apply,Does not apply,Does not apply,2,0,1,0,0,1
39302,AD17,0,High School,Male,15,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PBB,RM,"92,3",1141,0,0,27,Does not apply,1,1,"0,3",Traditional,0,"0,3",High cost,School 662,No information,No information,,,,0,1,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
47475,AD20,1,Undergraduate,Female,17,No degree,None educational degree,No degree,Graduated from high school,No degree,No,No,No,NO TEC,Local,Rural,Yes,EN,NEG,RCS,"90,3",1340,0,2,28,19.5,1,1,"0,35",Traditional,0,"0,35",Medium cost,School 5753,No information,No information,"93,66666667",0,0,0,Does not apply,Does not apply,Does not apply,3,1,0,0,1,1
17244,AD19,1,Undergraduate,Female,19,No degree,Received technical or commercial degree,No degree,"Attended university, but did not graduate",No degree,No,No,No,TEC,Local,Urban,Yes,EMCS,SLD,RCM,92,1420,0,7,31,91.5,1,"1,1","0,1",Traditional,"0,1","0,200000008",High cost,School 7351,No information,No information,97,0,0,0,Does not apply,Does not apply,Does not apply,1,0,0,0,0,1
9737,AD17,0,Undergraduate,Male,18,Undergraduate degree,Received undergraduate degree,Undergraduate degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Yes: National,No information,No,EN,LPO,RM,84,1308,0,5,40,16,1,"1,08","0,8",Sports talent,0,"0,799976315",Medium cost,School 9269,No information,No information,,,,0,1,0,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
25834,AD16,0,Undergraduate,Female,18,No information,No information,No information,No information,No information,No,No,No,TEC,Yes: National,No information,No information,EHE-EAAD,ARQ,RCS,"95,31",1494,0,6,,92.5,1,"1,08","0,5",Academic talent,0,"0,5",High cost,School 5320,No information,No information,,,,0,0,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
905,AD19,1,High School,Female,15,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PBB,DR,98,1450,0,6,36,Does not apply,1,1,"0,5",Traditional,0,"0,5",Medium cost,School 21,Level 7,Low,"94,16666667",0,0,0,Does not apply,Does not apply,Does not apply,4,1,1,1,0,1
99581,AD15,0,High School,Male,15,Master degree,Received master degree,Master degree,Received master degree,Master degree,No,No,No,NO TEC,Local,No information,Does not apply,High school,PBI,RCS,"92,33",1519,0,0,40,Does not apply,1,1,"0,6",Academic talent,0,"0,6",Low cost,School 3703,No information,No information,,,,0,1,1,1,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
55817,AD18,0,Undergraduate,Male,20,Master degree,Received master degree,Master degree,Received undergraduate degree,Undergraduate degree,No,No,No,TEC,Local,No information,No,EIC,ITC,RCM,"80,6",Does not apply ,0,6,,77,1,"1,08",0,No scholarship,0,0,High cost,School 5325,No information,No information,,,,0,Does not apply,Does not apply,Does not apply,2,0,0,0,1,1
62318,AD19,1,High School,Male,15,Master degree,Received master degree,Master degree,Received technical or commercial degree,No degree,No,No,No,NO TEC,Local,Urban,Does not apply,High school,PBB,RCS,93,1140,0,4,32,Does not apply,1,1,"0,3",Traditional,0,"0,3",High cost,School 4578,No information,Low,"90,66666667",0,0,0,Does not apply,Does not apply,Does not apply,4,1,1,1,0,1
67611,AD16,0,High School,Female,17,Master degree,Received master degree,Master degree,Received master degree,Master degree,Yes,No,Yes,NO TEC,Local,No information,Does not apply,High school,PBI,RCM,95,1202,0,0,29,Does not apply,1,"1,04",0,No scholarship,0,0,High cost,School 1113,No information,No information,,,,0,0,1,0,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply
