Solicitud_id,Aprobado,Hit_Buro_Huella,Malo,Num_IQ_U3M_PL_Financieras,Edad_cliente,Porcentaje_cuentas_abiertas,Num_IQ_U3M,Num_IQ_U3M_TDC_Banco,MaxMOP_U3M,Saldo_actual_prest_personales,Num_IQ_U3M_Prest_personales,Ingreso_Bruto,Número_ctas_atraso_prest_personales_U3M,Número_ctas_atraso_TdC_U3M,Ctas_ab_U18M_TDC_Banco,Num_ctas_prest_pers,Flag_prest_nómina,Meses_cta_más_antig,Flag_fraude_prest_nomina,Flag_fraude_hipotecario,Flag_quebranto_prest_personal,Entidad_federativa,Tipo_suscripcion,Status,Antigüedad_uso_linea_celular,Gasto_mensual_telefonia,Actividad_usuario,Cambio_SIM_U3M,Variable_37,Gasto_ultimos_60_días,Score_FPD,Rango_dispositivo,Adopcion_tecno,Score_incumplimiento,Tasa_contactacion,Calidad_telefonica,Score_contabilidad_entrante,Score_contabilidad_saliente,Disciplina_tech,Cluster_sucursales
5841148,1,11,0,-2,67,0.1,2,-2,1,222365,1,12983.47,0,0,1,26,-2,1,0,0,0,TAM,POSPAGO,1,75,-1,5,0,20,10,407,6,7,635,667,834,3,2,-3,-1
5841243,1,10,1,1,56,0.714285714,3,-2,9,747914,2,26729.87,7,9,1,9,1,5,-2,0,0,EM,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
5841262,1,11,0,1,65,0.727272727,4,-2,9,156479,2,20932.24,1,0,1,4,1,3,-2,-2,0,VER,PREPAGO,1,65,6,6,0,20,6,434,4,4,614,622,767,3,3,87,3
5841319,1,10,0,-2,43,0.4,3,-2,9,-2,1,4171.45,0,-2,-2,1,1,23,0,0,-2,CHI,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
5841376,1,11,0,-2,65,0.5,6,1,1,-2,1,9214.19,0,0,-2,3,-2,6,-2,0,-2,CHS,PREPAGO,1,85,6,6,0,16,6,420,8,8,608,638,785,3,3,43,1
5841490,1,11,0,1,58,0.147058824,7,-2,9,107100,2,19363.98,0,0,-2,21,-2,1,0,0,-2,GRO,PREPAGO,1,65,8,6,0,23,8,405,5,5,612,629,796,3,3,50,1
5841604,1,11,0,-2,75,0.333333333,2,-2,1,5258,1,6011.62,0,0,0,3,1,28,0,-2,-2,TAM,MIXTO,1,70,-1,6,0,20,7,430,4,6,580,651,787,3,2,-2,3
5841851,1,11,0,-2,61,0.282051282,6,1,9,33548,1,11516.44,0,0,0,29,1,1,0,-2,0,VER,PREPAGO,1,63,7,5,0,20,7,470,5,5,565,603,747,2,2,55,3
5841965,1,11,0,-2,62,0.55,12,3,9,158450,1,14339.82,4,1,0,9,-2,1,-2,-2,0,NL,MIXTO,1,59,-1,5,0,20,10,452,4,7,560,621,738,3,2,-2,1
5842801,1,1,0,0,49,0.3,0,0,0,0,0,3556.55,0,0,0,0,0,0,0,0,0,TAM,PREPAGO,1,46,7,6,0,19,7,465,8,8,576,600,756,3,3,56,-1
5842972,1,11,0,-2,61,0.181818182,2,1,9,-2,1,3597.64,0,0,0,1,-2,20,0,-2,-2,DGO,PREPAGO,1,39,7,5,0,19,7,351,4,6,564,610,734,3,2,59,1
5842991,1,11,0,-2,73,0.5,2,-2,1,49460,1,4101.21,0,0,-2,3,-2,9,-2,-2,-2,BCN,PREPAGO,1,71,4,4,0,17,4,511,-1,-1,644,594,761,2,2,100,3
5843010,1,11,0,-2,55,0.095238095,7,-2,1,30221,4,2865.05,0,0,0,19,-2,0,-2,-2,0,SIN,PREPAGO,1,11,3,5,0,20,3,305,5,5,568,579,688,2,3,1,3
5843124,1,11,0,2,63,0.079545455,10,2,9,36598,3,2310.26,4,1,0,45,-2,2,-2,-2,0,MOR,PREPAGO,1,44,5,5,0,18,5,437,4,4,560,600,767,3,2,44,3
5843409,1,11,0,-2,64,0,1,-2,0,-2,1,3275.77,0,-2,-2,3,-2,53,0,-2,-2,BCN,PREPAGO,1,15,8,5,0,17,8,426,5,3,586,582,704,3,3,40,3
5843447,1,10,0,-2,55,0.095238095,12,-2,7,-2,1,28784,0,0,-2,9,1,14,0,-2,0,NL,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
5843580,1,11,0,-2,66,0.47826087,1,-2,9,316344,1,54880.49,0,3,1,9,1,3,0,-2,0,CDMX,MIXTO,1,42,-1,6,0,20,11,515,6,7,606,680,775,3,3,-2,3
5843618,1,10,0,-2,68,0.181818182,6,-2,1,908,1,3947.77,0,0,1,9,-2,1,-2,-2,-2,NL,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
5843694,1,11,1,-2,63,1,1,-2,7,-2,1,4607.09,-2,1,0,-2,-2,17,-2,-2,-2,SON,PREPAGO,1,43,4,3,0,22,4,412,-1,-1,568,615,699,2,2,54,1
5843865,1,11,0,-2,68,0.272727273,4,-2,7,108072,1,4140.14,0,0,-2,7,-2,2,-2,-2,0,NL,PREPAGO,1,46,7,6,0,22,7,408,4,5,550,612,756,3,3,61,1
5843998,1,11,0,-2,72,1,5,2,0,51459,1,7827.74,0,-2,-2,1,-2,8,-2,-2,0,QRO,PREPAGO,1,65,5,2,0,21,5,453,-1,-1,612,600,699,2,2,44,1
5844074,1,11,0,1,61,0.294117647,6,-2,2,118659,2,5136.25,2,-2,-2,13,-2,9,-2,-2,0,PUE,PREPAGO,1,37,2,3,0,21,2,265,-1,-1,568,519,725,2,0,1,3
5844226,1,11,1,-2,52,0.294117647,5,-2,9,159541,1,24523.94,3,0,-2,9,-2,17,0,0,0,SON,MIXTO,1,60,-1,6,0,20,7,444,-1,-1,560,636,761,3,3,-2,1
5844549,1,1,0,-1,76,-1,-1,-1,-1,-1,-1,10937.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,EM,PREPAGO,1,5,2,2,0,21,2,376,5,7,556,498,644,2,1,1,3
5844910,1,11,0,-2,76,0.2,4,-2,0,-2,1,29084.8,0,-2,-2,1,-2,17,-2,-2,0,AGS,PREPAGO,1,52,8,5,0,16,8,458,8,7,648,622,759,3,3,53,1
5845043,1,11,0,2,62,0.285714286,5,-2,9,251424,3,3519.77,2,0,-2,15,-2,8,-2,-2,1,JAL,PREPAGO,1,62,2,3,2,19,2,296,4,8,557,587,728,2,1,1,1
5845081,1,10,0,1,65,0.75,8,2,7,22488,2,5107.8,2,-2,-2,2,-2,13,-2,-2,-2,NL,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
5845214,1,11,0,-2,63,0.181818182,3,2,2,307563,1,9810.18,1,0,0,13,-2,11,0,0,0,CAM,PREPAGO,1,64,5,2,0,19,5,490,-1,-1,581,599,705,2,2,48,1
5845404,1,11,0,-2,65,0.25,1,-2,9,-2,1,3444.36,-2,-2,-2,-2,-2,16,0,-2,-2,EM,PREPAGO,1,16,4,6,2,20,4,435,6,6,548,586,705,2,3,45,1
5845423,1,1,0,-1,61,-1,-1,-1,-1,-1,-1,10080.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,CHI,MIXTO,1,74,-1,6,2,20,7,454,6,7,592,653,789,3,3,-2,3
