solicitud_id,aprobado,hit_buro_huella,malo,num_iq_u3m_pl_financieras,edad_cliente,porcentaje_cuentas_abiertas,num_iq_u3m,num_iq_u3m_tdc_banco,maxmop_u3m,saldo_actual_prest_personales,num_iq_u3m_prest_personales,ingreso_bruto,numero_ctas_atraso_prest_personales_u3m,numero_ctas_atraso_tdc_u3m,ctas_ab_u18m_tdc_banco,num_ctas_prest_pers,flag_prest_nomina,meses_cta_mas_antig,flag_fraude_prest_nomina,flag_fraude_hipotecario,flag_quebranto_prest_personal,entidad_federativa,tipo_suscripcion,footprint_status,footprint_antiguedad_uso_linea_celular,footprint_gasto_mensual_telefonia,footprint_actividad_usuario,footprint_cambio_sim_u3m,footprint_variable_37,footprint_gasto_ultimos_60_dias,footprint_score_fpd,footprint_rango_dispositivo,footprint_adopcion_tecno,footprint_score_incumplimiento,footprint_tasa_contactacion,footprint_calidad_telefonica,footprint_score_contactabilidad_entrante,footprint_score_contactabilidad_saliente,footprint_disciplina_tech,footprint_cluster_sucursales,region
5713335.0,1,11,0,-2,60,0.285714286,2,1,9,50686,1,4086.17,0,1,0,1,-2,4,-2,-2,-2,CHI,PREPAGO,1,72,6,5,0,19,6,354,-1,-1,562,595,752,3,3,66,3,
5713582.0,1,11,0,-2,79,0.125,3,-2,9,10488,1,5406.1,0,-2,-2,2,-2,3,0,-2,0,CHS,PREPAGO,1,34,7,5,0,19,7,469,-1,-1,539,607,715,3,3,46,3,Noroeste
5713658.0,1,11,0,2,40,0.08,14,1,9,-2,3,3930.66,0,1,-2,17,-2,2,0,-2,0,SLP,PREPAGO,1,44,8,6,0,23,9,426,4,5,594,605,775,3,3,48,1,
5713753.0,1,11,0,-2,54,0.25,6,-2,7,23201,2,22461.64,1,0,0,5,-2,4,0,0,0,AGS,PREPAGO,1,33,4,5,2,24,4,476,5,7,588,574,711,2,2,1,1,Occidente
5714000.0,1,11,0,-2,65,0.447368421,7,2,9,72822,1,12048.37,3,1,0,6,1,6,0,-2,0,PUE,PREPAGO,1,45,7,6,0,20,7,406,-1,-1,492,614,751,4,3,58,3,Centro
5714057.0,1,11,0,-2,51,0.6,1,-2,9,53708,1,1657.57,2,-2,-2,8,-2,4,-2,0,0,AGS,PREPAGO,1,63,6,5,0,19,6,364,-1,-1,579,597,733,2,3,100,1,Occidente
5714760.0,1,11,0,-2,63,0.625,3,-2,9,55596,1,4494.29,1,1,0,2,-2,3,0,0,-2,CHS,PREPAGO,1,62,6,6,0,18,6,474,7,8,583,639,751,3,3,73,3,Noroeste
5714779.0,1,11,0,-2,62,1.0,1,-2,7,-2,1,6072.32,-2,-2,-2,-2,-2,132,-2,0,-2,NL,PREPAGO,1,15,3,5,0,20,3,349,4,7,553,587,715,3,2,1,1,Noreste
5714855.0,1,11,0,-2,62,0.151785714,11,-2,2,295142,5,4607.09,2,0,0,78,-2,4,0,0,0,CAM,PREPAGO,1,48,5,5,0,20,5,481,4,7,598,615,770,3,2,52,1,Sur-Sureste
5715083.0,1,11,0,2,51,0.148148148,11,1,9,26096,3,26860.34,1,0,-2,40,-2,2,0,-2,0,COA,PREPAGO,1,72,8,6,2,20,8,331,-1,-1,555,617,758,3,3,51,1,Noreste
5715216.0,1,11,0,-2,66,0.666666667,2,-2,9,35796,1,10091.79,1,0,0,1,-2,33,0,-2,-2,COA,PREPAGO,1,86,6,5,1,21,6,406,3,8,568,607,776,3,3,69,1,Noreste
5715368.0,1,11,0,-2,61,0.0,12,1,0,-2,1,4784.14,0,-2,-2,17,-2,41,-2,-2,-2,COA,PREPAGO,1,45,6,3,0,20,6,424,-1,-1,611,654,724,3,2,68,3,Noreste
5715596.0,1,11,0,-2,42,0.066666667,1,-2,0,-2,1,3423.89,0,0,-2,1,-2,28,0,-2,-2,BCN,PREPAGO,1,74,6,7,0,18,6,411,-1,-1,539,636,787,4,3,52,3,
5715615.0,1,11,0,-2,65,0.028571429,3,-2,1,-2,1,9286.6,0,0,-2,30,-2,45,-2,-2,0,TAM,PREPAGO,1,26,4,4,0,24,4,418,3,8,596,463,741,1,2,17,-1,Noreste
5715805.0,1,11,0,-2,62,0.057142857,3,-2,9,36329,1,4607.09,0,-2,-2,34,1,4,-2,-2,0,VER,PREPAGO,1,59,10,5,0,1,12,390,3,4,568,610,770,3,3,56,3,Noreste
5716698.0,1,11,0,-2,58,0.25,3,-2,9,13939,1,16345.19,2,-2,-2,7,-2,37,-2,-2,0,EM,PREPAGO,1,61,7,5,0,17,7,440,-1,-1,602,633,765,3,3,50,3,
5716926.0,1,11,0,3,60,0.174603175,17,-2,9,849279,4,20285.73,4,0,-2,39,-2,1,0,-2,0,EM,POSPAGO,1,61,-1,6,0,20,6,669,5,8,564,647,795,3,3,-3,3,
5717686.0,1,11,0,-2,60,0.125,1,-2,9,148991,1,4086.8,1,2,0,18,-2,2,-2,-2,0,NL,PREPAGO,1,58,3,3,1,18,3,383,5,5,570,621,746,2,1,1,1,Noreste
